[1029/113759:WARNING:resource_bundle.cc(307)] locale_file_path.empty() for locale 
[1029/113759:ERROR:main_delegate.cc(724)] Could not load locale pak for en-US
[1029/113759:ERROR:network_change_notifier_win.cc(153)] WSALookupServiceBegin failed with: 1722
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113759:WARNING:resource_bundle.cc(307)] locale_file_path.empty() for locale 
[1029/113759:ERROR:main_delegate.cc(724)] Could not load locale pak for en-US
[1029/113801:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/113801:ERROR:content_client.cc(332)] No localized string available for id 18908
